,loss,accuracy,time,efficiency,max_pooling_size,convolutional_activation,convolutional,kernel_try,kernel_size,dropout,dense_activation,node_variation,node_num,layer,batch_size,epoch,split_iteration
0,0.3594267964363098,0.9131006002426147,70.61966919898987,0.012929834005165173,2,relu,1,32,3,0.3,relu,equal,500,10,60,20,0
1,1.8264669179916382,0.41957584023475647,77.32218194007874,0.005426332130150041,2,relu,1,32,3,0.3,relu,ascending,500,10,60,20,0
2,0.35125595331192017,0.9171358942985535,116.55038785934448,0.007869007655344509,2,relu,1,32,3,0.3,relu,descending,500,10,60,20,0
3,0.3714219629764557,0.9092530012130737,97.53711009025574,0.009322123655003707,2,relu,1,32,3,0.3,relu,interleaved,500,10,60,20,0
4,0.28480783104896545,0.9418168067932129,135.2748019695282,0.006962248645578244,2,relu,1,32,3,0.3,relu,equal,1000,10,60,20,0
5,0.40020087361335754,0.8973348140716553,118.36314702033997,0.007581201046618454,2,relu,1,32,3,0.3,relu,ascending,1000,10,60,20,0
6,0.2768806517124176,0.9513888955116272,161.30922603607178,0.005897919907562378,2,relu,1,32,3,0.3,relu,descending,1000,10,60,20,0
7,0.31598231196403503,0.9329954981803894,113.12843608856201,0.008247223513723806,2,relu,1,32,3,0.3,relu,interleaved,1000,10,60,20,0
8,0.2509101331233978,0.9520457983016968,170.7132532596588,0.005576871040314679,2,relu,1,32,3,0.3,relu,equal,1500,10,60,20,0
9,0.3196411728858948,0.931587815284729,134.13924908638,0.006944930895541437,2,relu,1,32,3,0.3,relu,ascending,1500,10,60,20,0
10,0.2805168032646179,0.9386261105537415,191.03950810432434,0.004913256529330934,2,relu,1,32,3,0.3,relu,descending,1500,10,60,20,0
11,0.28329846262931824,0.9401276111602783,146.29054498672485,0.006426441375589859,2,relu,1,32,3,0.3,relu,interleaved,1500,10,60,20,0
12,0.3363335132598877,0.9344969987869263,202.1964190006256,0.004621728729943703,2,relu,1,32,3,0.3,relu,equal,2000,10,60,20,0
13,0.22910176217556,0.9492304921150208,164.7882649898529,0.005760303940171171,2,relu,1,32,3,0.3,relu,ascending,2000,10,60,20,0
14,0.23335474729537964,0.9576764106750488,237.76298213005066,0.004027861705365147,2,relu,1,32,3,0.3,relu,descending,2000,10,60,20,0
15,0.2709251940250397,0.9374061822891235,157.4375832080841,0.005954144894679694,2,relu,1,32,3,0.3,relu,interleaved,2000,10,60,20,0
16,0.8688127398490906,0.717717707157135,122.1792938709259,0.005874299027422395,2,relu,1,32,3,0.3,relu,equal,500,15,60,20,0
17,1.0987545251846313,0.6222785115242004,110.81434607505798,0.005615504973541169,2,relu,1,32,3,0.3,relu,ascending,500,15,60,20,0
18,0.9031835794448853,0.6946321129798889,124.19542288780212,0.005593057270777346,2,relu,1,32,3,0.3,relu,descending,500,15,60,20,0
19,1.9902220964431763,0.346189945936203,104.17518782615662,0.0033231516367785287,2,relu,1,32,3,0.3,relu,interleaved,500,15,60,20,0
20,0.3753529489040375,0.8987424969673157,146.64042210578918,0.006128886456143353,2,relu,1,32,3,0.3,relu,equal,1000,15,60,20,0
21,0.7767187356948853,0.7633258104324341,117.13716197013855,0.0065165127581546375,2,relu,1,32,3,0.3,relu,ascending,1000,15,60,20,0
22,0.6496208310127258,0.803772509098053,149.35559105873108,0.005381603081614706,2,relu,1,32,3,0.3,relu,descending,1000,15,60,20,0
23,0.8712167143821716,0.7103978991508484,114.52224731445312,0.006203143195402467,2,relu,1,32,3,0.3,relu,interleaved,1000,15,60,20,0
24,0.42670077085494995,0.8897334933280945,155.00765800476074,0.005739932496114277,2,relu,1,32,3,0.3,relu,equal,1500,15,60,20,0
25,0.48263081908226013,0.8911411166191101,126.03388595581055,0.0070706469919649875,2,relu,1,32,3,0.3,relu,ascending,1500,15,60,20,0
26,0.7029092907905579,0.8460022807121277,160.78033709526062,0.0052618516417892594,2,relu,1,32,3,0.3,relu,descending,1500,15,60,20,0
27,0.7189922332763672,0.737424910068512,117.98393702507019,0.006250214467006791,2,relu,1,32,3,0.3,relu,interleaved,1500,15,60,20,0
28,0.36255770921707153,0.9140390157699585,156.96041107177734,0.005823372973660041,2,relu,1,32,3,0.3,relu,equal,2000,15,60,20,0
29,0.5392823815345764,0.8818506002426147,139.54176211357117,0.006319617775249881,2,relu,1,32,3,0.3,relu,ascending,2000,15,60,20,0
30,0.2965663969516754,0.923892617225647,179.57352805137634,0.005144926578272269,2,relu,1,32,3,0.3,relu,descending,2000,15,60,20,0
31,0.7523683309555054,0.7103978991508484,137.5194821357727,0.005165798242677165,2,relu,1,32,3,0.3,relu,interleaved,2000,15,60,20,0
32,1.2407503128051758,0.5213963985443115,103.60425782203674,0.0050325769375224455,2,relu,1,32,3,0.3,relu,equal,500,20,60,20,0
33,1.3794739246368408,0.47766515612602234,108.01440095901489,0.0044222358489704365,2,relu,1,32,3,0.3,relu,ascending,500,20,60,20,0
34,1.3823730945587158,0.5336899161338806,120.82260394096375,0.004417136353017617,2,relu,1,32,3,0.3,relu,descending,500,20,60,20,0
35,1.294295072555542,0.5327515006065369,109.31844902038574,0.00487339058851072,2,relu,1,32,3,0.3,relu,interleaved,500,20,60,20,0
36,0.900213360786438,0.6753003001213074,126.78728890419006,0.0053262460768572365,2,relu,1,32,3,0.3,relu,equal,1000,20,60,20,0
37,1.3039348125457764,0.5432620048522949,117.19011402130127,0.00463573236863263,2,relu,1,32,3,0.3,relu,ascending,1000,20,60,20,0
38,0.7917091250419617,0.7185623049736023,145.87165689468384,0.004925989875417598,2,relu,1,32,3,0.3,relu,descending,1000,20,60,20,0
